19
0	19	6	17	3	2	18	17	20	6	13	8	6	7	1	11	11	2	20
13	0	20	7	16	20	11	13	14	8	16	17	16	13	3	16	20	8	6
5	15	0	15	20	12	18	3	6	1	11	4	9	7	16	5	1	3	9
5	8	5	0	7	11	11	2	19	13	3	16	1	14	13	9	1	9	19
13	13	4	19	0	9	8	5	2	17	6	10	17	15	12	12	7	7	18
1	15	11	16	7	0	8	17	4	1	18	12	9	18	1	19	3	8	12
1	6	15	8	18	9	0	2	17	7	7	18	6	20	10	17	1	2	3
12	2	18	2	18	6	18	0	10	12	14	5	7	20	20	11	4	11	15
5	15	2	8	2	11	7	13	0	9	6	19	10	17	12	16	7	15	19
11	6	20	19	18	1	3	1	4	0	18	1	18	4	1	2	13	13	2
9	5	5	10	20	7	15	10	14	18	0	15	8	5	15	12	14	9	3
14	10	20	5	7	8	12	6	3	1	7	0	4	16	15	7	1	7	1
10	13	3	9	11	13	4	8	16	8	2	8	0	15	3	20	20	3	16
12	9	11	15	11	18	18	10	18	8	1	14	12	0	11	19	8	10	1
12	9	17	17	7	14	9	10	5	6	7	6	13	4	0	5	17	6	10
10	3	9	10	12	1	14	11	4	10	1	9	18	13	3	0	7	5	16
1	5	17	13	5	10	2	3	11	17	13	18	8	8	19	11	0	19	15
10	1	9	9	1	16	19	10	9	8	20	5	1	8	17	1	10	0	10
8	5	3	5	12	2	7	10	15	1	2	17	6	19	15	10	19	19	0
