18
0	8	10	14	5	18	1	1	8	18	9	12	14	18	1	6	21	20
17	0	16	12	7	20	14	18	2	17	15	14	8	9	21	15	19	14
17	13	0	12	17	20	6	4	8	20	21	8	4	19	4	18	13	14
1	9	6	0	18	10	20	9	1	6	16	21	18	11	11	14	2	2
9	19	7	13	0	5	3	10	10	4	5	12	21	17	4	21	5	7
16	12	5	1	12	0	9	16	12	5	3	1	18	4	21	4	1	5
14	3	7	2	11	11	0	7	1	10	21	2	8	2	8	21	12	10
19	2	18	14	11	2	16	0	10	19	18	9	1	16	13	14	19	18
14	8	7	18	6	14	15	7	0	19	17	14	18	7	21	14	6	18
4	17	19	17	3	14	13	11	13	0	8	1	3	3	18	14	8	1
10	13	14	4	19	12	18	9	6	1	0	6	19	6	2	1	20	18
16	1	9	7	10	21	12	10	21	12	4	0	14	19	4	21	8	15
1	3	3	16	11	7	16	17	4	1	16	3	0	20	13	18	19	19
1	7	16	13	14	15	1	17	5	20	18	5	6	0	9	3	9	12
19	17	18	13	10	19	13	3	19	10	15	13	7	10	0	14	13	4
3	3	18	3	19	2	20	13	4	3	21	6	11	9	3	0	4	5
14	12	3	3	14	19	12	5	11	16	14	1	5	17	1	7	0	11
1	2	10	21	14	13	2	12	17	10	20	17	11	2	9	1	4	0
