20
0	8	6	19	6	26	15	25	21	29	8	15	17	27	7	23	11	24	5	4
23	0	20	6	12	15	20	19	7	30	26	23	6	19	17	27	25	14	8	15
17	6	0	6	30	7	19	5	7	26	7	13	15	21	20	11	27	8	26	21
4	17	7	0	27	15	9	17	10	5	7	18	9	11	21	9	28	4	8	30
19	17	25	20	0	18	11	5	24	11	18	21	12	27	17	23	27	17	28	23
30	8	29	13	23	0	4	19	5	9	24	9	27	9	18	25	23	25	13	18
13	10	24	15	6	13	0	12	6	26	8	30	25	26	23	17	6	20	27	23
29	11	4	30	22	30	22	0	16	29	22	27	15	4	29	20	6	17	15	27
27	21	4	10	26	19	19	17	0	19	4	30	4	23	17	24	20	30	14	7
8	23	9	26	14	8	8	19	17	0	7	24	13	19	4	4	18	21	6	30
21	30	8	23	17	6	16	11	14	6	0	18	10	23	7	17	10	17	5	23
17	14	18	19	6	8	15	7	21	16	24	0	7	7	27	25	6	25	4	5
22	12	5	16	5	25	15	26	22	9	5	12	0	7	14	28	29	14	23	29
24	20	5	29	30	18	27	26	6	9	4	6	29	0	16	6	9	23	15	25
24	30	8	17	6	17	20	27	16	16	24	14	11	14	0	20	26	23	14	16
4	4	7	28	6	29	14	5	30	25	27	15	26	10	18	0	16	13	6	25
24	19	9	14	24	9	27	18	20	22	6	13	10	25	26	11	0	28	25	27
30	29	15	5	28	24	8	16	13	22	6	10	10	28	20	9	22	0	19	9
18	15	10	12	7	29	28	16	19	27	6	22	13	14	29	24	17	11	0	20
7	26	10	13	8	19	7	15	14	23	24	22	29	4	4	7	8	27	13	0
